underlying_symbol,quote_datetime,iv30,iv60,iv90,iv120,iv180,iv360,number_of_expiry_ivs,{expiry_iv_date,expiry_iv_value}[number_of_expiry_ivs]
AAPL,2020-12-31 16:00:00,39.7455,37.7061,36.8557,36.3180,36.8296,36.5306,18,2020-12-31,63.6785,2021-01-08,31.7973,2021-01-15,33.7460,2021-01-22,33.8542,2021-01-29,39.3571,2021-02-05,39.2969,2021-02-12,38.7106,2021-02-19,38.2301,2021-03-19,37.2191,2021-04-16,36.4237,2021-06-18,36.8441,2021-07-16,36.7028,2021-09-17,36.4999,2022-01-21,36.5538,2022-06-17,36.4729,2022-09-16,36.1364,2023-01-20,36.4073,2023-03-17,36.5934
AMZN,2020-12-31 16:00:00,35.2890,35.5562,35.1288,34.9390,35.5899,34.8922,19,2020-12-31,25.0706,2021-01-08,25.8031,2021-01-15,27.3975,2021-01-22,27.8217,2021-01-29,34.5275,2021-02-05,37.2300,2021-02-12,36.6388,2021-02-19,35.9957,2021-03-19,35.3259,2021-04-16,34.8926,2021-06-18,35.6639,2021-07-16,35.4542,2021-08-20,35.7135,2021-09-17,35.2618,2021-10-15,34.8541,2021-11-19,35.1736,2022-01-21,34.4555,2022-06-17,34.2745,2023-01-20,33.8057
FB,2020-12-31 16:00:00,39.3874,39.3636,36.9651,36.4247,36.9427,36.8657,16,2020-12-31,34.1417,2021-01-08,30.7846,2021-01-15,32.7638,2021-01-22,32.8990,2021-01-29,38.6922,2021-02-05,40.9844,2021-02-12,39.3305,2021-02-19,39.3448,2021-03-19,37.8049,2021-06-18,37.0614,2021-07-16,36.6654,2021-09-17,37.0123,2022-01-21,36.7259,2022-06-17,36.8328,2022-09-16,36.8788,2023-01-20,36.6368
NFLX,2020-12-31 16:00:00,45.8001,41.2638,40.7768,40.7632,41.5762,41.3714,16,2020-12-31,56.9453,2021-01-08,32.3465,2021-01-15,34.6399,2021-01-22,48.2570,2021-01-29,46.2974,2021-02-05,44.9764,2021-02-12,44.0689,2021-02-19,42.5887,2021-03-19,40.7879,2021-06-18,41.2955,2021-07-16,41.9306,2021-09-17,41.1276,2022-01-21,41.4193,2022-03-18,40.8830,2022-06-17,40.4233,2023-01-20,40.2634
