underlying_symbol,quote_datetime,iv30,iv60,iv90,iv120,iv180,iv360,number_of_expiry_ivs,{expiry_iv_date,expiry_iv_value}[number_of_expiry_ivs]
AAPL,2020-02-26 16:00:00,35.3138,32.2297,32.1440,30.1637,29.4751,28.2102,18,2020-02-28,46.5533,2020-03-06,41.1029,2020-03-13,38.2434,2020-03-20,36.6453,2020-03-27,35.3100,2020-04-03,34.1639,2020-04-17,32.4926,2020-05-15,32.5091,2020-06-19,30.4756,2020-07-17,29.6084,2020-09-18,29.3470,2020-10-16,28.9277,2020-12-18,28.7861,2021-01-15,28.4969,2021-06-18,28.2605,2021-09-17,28.4810,2022-01-21,28.4915,2022-06-17,28.1069
AMZN,2020-02-26 16:00:00,32.1796,30.1026,31.0608,29.3851,29.1456,28.0282,17,2020-02-28,45.7441,2020-03-06,39.4913,2020-03-13,35.6741,2020-03-20,33.5015,2020-03-27,32.1769,2020-04-03,31.5348,2020-04-17,30.1687,2020-05-15,31.1011,2020-06-19,29.6936,2020-07-17,28.8625,2020-08-21,29.1680,2020-09-18,28.5928,2020-10-16,28.1964,2021-01-15,28.0553,2021-02-19,28.0295,2021-06-18,27.8064,2022-01-21,27.4316
FB,2020-02-26 16:00:00,34.5222,31.8567,33.5136,30.7420,29.6158,30.0603,15,2020-02-28,44.1638,2020-03-06,40.4570,2020-03-13,37.4175,2020-03-20,35.7081,2020-03-27,34.5192,2020-04-03,33.6174,2020-04-17,31.7720,2020-05-15,33.5726,2020-06-19,31.2679,2020-09-18,30.1590,2020-11-20,30.5570,2021-01-15,29.9386,2021-03-19,30.2890,2021-06-18,30.3377,2022-01-21,30.1319
NFLX,2020-02-26 16:00:00,39.5529,44.6694,39.8320,39.1101,38.3385,37.7660,15,2020-02-28,48.8565,2020-03-06,45.8859,2020-03-13,42.4186,2020-03-20,40.7705,2020-03-27,39.5490,2020-04-03,38.7905,2020-04-17,43.5522,2020-05-15,41.3357,2020-06-19,39.1373,2020-09-18,38.1920,2020-11-20,38.7015,2021-01-15,38.1424,2021-06-18,37.5787,2022-01-21,38.6487,2022-06-17,38.8117
