time,noise
2019-12-30,448.9879999999997
2019-12-31,355.7619999999997
2020-01-01,147.40100000000007
2020-01-10,418.4179999999998
2020-01-11,168.00200000000004
2020-01-12,152.78000000000003
2020-01-13,376.85200000000003
2020-01-14,492.74799999999937
2020-01-15,424.9009999999998
2020-01-16,415.37399999999957
2020-01-17,450.82199999999955
2020-01-18,206.76799999999992
2020-01-19,170.25800000000012
2020-01-02,472.1919999999995
2020-01-20,185.53499999999997
2020-01-21,451.1919999999996
2020-01-22,508.0129999999991
2020-01-23,410.65699999999964
2020-01-24,445.72299999999956
2020-01-25,210.78599999999992
2020-01-26,193.04699999999997
2020-01-27,507.6479999999995
2020-01-28,417.49599999999964
2020-01-29,402.2879999999995
2020-01-03,417.7039999999996
2020-01-30,908.4989999999955
2020-01-31,1155.5469999999932
2020-01-04,148.65600000000006
2020-01-05,195.01799999999986
2020-01-06,575.238999999999
2020-01-07,467.9169999999995
2020-01-08,503.2809999999991
2020-01-09,457.8479999999998
2020-10-01,1021.5629999999946
2020-10-10,489.2669999999993
2020-10-11,594.0189999999985
2020-10-12,1643.3959999999872
2020-10-13,1401.4469999999906
2020-10-14,1080.8959999999945
2020-10-15,1012.9609999999957
2020-10-16,994.022999999995
2020-10-17,465.51399999999984
2020-10-18,412.07899999999984
2020-10-19,935.781999999996
2020-10-02,949.9419999999957
2020-10-20,1027.9349999999963
2020-10-21,987.3599999999959
2020-10-22,1053.439999999996
2020-10-23,1086.2939999999949
2020-10-24,438.76599999999956
2020-10-25,479.3009999999993
2020-10-26,991.6899999999961
2020-10-27,805.6349999999965
2020-10-28,902.008999999995
2020-10-29,1803.103999999984
2020-10-03,367.26499999999965
2020-10-30,1292.4459999999915
2020-10-31,340.6759999999999
2020-10-04,429.9619999999995
2020-10-05,1025.1289999999965
2020-10-06,1133.9499999999946
2020-10-07,1117.2329999999945
2020-10-08,928.6689999999961
2020-10-09,1097.1649999999945
2020-11-01,333.04999999999995
2020-11-10,847.540999999998
2020-11-11,793.2019999999972
2020-11-12,697.1529999999979
2020-11-13,681.3749999999974
2020-11-14,259.222
2020-11-15,324.83899999999994
2020-11-16,715.4399999999973
2020-11-17,1255.5229999999913
2020-11-18,847.9209999999956
2020-11-19,822.8579999999968
2020-11-02,892.9549999999964
2020-11-20,782.1219999999972
2020-11-21,304.83599999999973
2020-11-22,275.3860000000001
2020-11-23,772.0459999999963
2020-11-24,877.5249999999962
2020-11-25,908.9049999999969
2020-11-26,291.22299999999996
2020-11-27,640.2159999999981
2020-11-28,321.3230000000001
2020-11-29,388.9539999999999
2020-11-03,755.9759999999973
2020-11-30,794.3519999999966
2020-11-04,809.5119999999971
2020-11-05,771.1109999999965
2020-11-06,643.7519999999981
2020-11-07,251.28300000000002
2020-11-08,198.80100000000007
2020-11-09,857.7069999999957
2020-12-01,1232.8789999999917
2020-12-10,875.1909999999959
2020-12-11,720.2889999999975
2020-12-12,329.30799999999977
2020-12-13,368.4989999999996
2020-12-14,949.5759999999948
2020-12-15,988.7909999999949
2020-12-16,1231.9579999999908
2020-12-17,1009.5649999999948
2020-12-18,786.5589999999967
2020-12-19,377.541
2020-12-02,1020.8609999999935
2020-12-20,410.99799999999965
2020-12-21,767.7299999999966
2020-12-22,797.2679999999967
2020-12-23,812.1259999999967
2020-12-24,548.3099999999991
2020-12-25,169.58200000000008
2020-12-26,247.67999999999995
2020-12-27,299.86899999999997
2020-12-28,1024.244999999994
2020-12-29,957.8179999999961
2020-12-03,849.8849999999957
2020-12-30,804.9029999999975
2020-12-31,700.8719999999983
2020-12-04,861.3659999999962
2020-12-05,418.5789999999997
2020-12-06,409.6899999999997
2020-12-07,819.5489999999962
2020-12-08,943.2609999999949
2020-12-09,912.7429999999945
2020-02-01,329.576
2020-02-10,647.365999999998
2020-02-11,740.4509999999981
2020-02-12,560.594999999999
2020-02-13,601.9589999999984
2020-02-14,466.75199999999916
2020-02-15,190.63300000000015
2020-02-16,174.076
2020-02-17,257.28099999999995
2020-02-18,508.33499999999975
2020-02-19,507.3249999999993
2020-02-02,258.0420000000001
2020-02-20,472.91799999999927
2020-02-21,478.1139999999996
2020-02-22,153.6980000000001
2020-02-23,164.50300000000001
2020-02-24,472.6959999999994
2020-02-25,541.635999999999
2020-02-26,481.4779999999992
2020-02-27,634.4389999999984
2020-02-28,598.9509999999985
2020-02-29,202.0
2020-02-03,560.755999999999
2020-02-04,593.9589999999992
2020-02-05,523.7839999999992
2020-02-06,426.9589999999996
2020-02-07,525.0919999999994
2020-02-08,184.43499999999995
2020-02-09,194.38299999999995
2020-03-01,155.33000000000007
2020-03-10,455.29599999999937
2020-03-11,507.7229999999992
2020-03-12,559.3299999999982
2020-03-13,511.20699999999937
2020-03-14,158.59600000000003
2020-03-15,253.91699999999983
2020-03-16,475.3809999999992
2020-03-17,592.2399999999989
2020-03-18,592.713999999999
2020-03-19,532.0659999999992
2020-03-02,406.6969999999998
2020-03-20,462.68799999999936
2020-03-21,208.94299999999996
2020-03-22,194.53499999999997
2020-03-23,524.9889999999992
2020-03-24,530.8279999999995
2020-03-25,511.33399999999915
2020-03-26,378.99399999999974
2020-03-27,354.3229999999999
2020-03-28,141.09900000000002
2020-03-29,184.52100000000004
2020-03-03,517.541999999999
2020-03-30,415.14699999999993
2020-03-31,394.97799999999984
2020-03-04,449.1489999999997
2020-03-05,475.09599999999955
2020-03-06,508.084999999999
2020-03-07,149.354
2020-03-08,144.00599999999994
2020-03-09,607.061999999998
2020-04-01,462.7519999999997
2020-04-10,169.9639999999999
