time,noise
2019-12-30,327.37299999999993
2019-12-31,261.924
2020-01-01,105.97100000000005
2020-01-10,360.4659999999997
2020-01-11,132.68600000000006
2020-01-12,132.2750000000001
2020-01-13,339.1660000000001
2020-01-14,310.0389999999997
2020-01-15,299.1199999999997
2020-01-16,270.95500000000004
2020-01-17,326.1700000000001
2020-01-18,160.33400000000003
2020-01-19,136.83500000000006
2020-01-02,323.9459999999998
2020-01-20,157.97900000000007
2020-01-21,303.84800000000007
2020-01-22,302.8789999999996
2020-01-23,276.77
2020-01-24,329.7399999999998
2020-01-25,196.06400000000002
2020-01-26,184.877
2020-01-27,385.28300000000013
2020-01-28,366.61099999999976
2020-01-29,738.5009999999975
2020-01-03,311.1139999999999
2020-01-30,729.8439999999975
2020-01-31,399.02699999999976
2020-01-04,143.35200000000006
2020-01-05,186.62299999999985
2020-01-06,409.3549999999993
2020-01-07,368.11699999999973
2020-01-08,349.88999999999976
2020-01-09,397.6209999999999
2020-10-01,680.0169999999982
2020-10-10,390.68699999999956
2020-10-11,419.62499999999955
2020-10-12,984.8609999999962
2020-10-13,752.5269999999982
2020-10-14,670.7059999999982
2020-10-15,800.3999999999975
2020-10-16,696.7349999999984
2020-10-17,385.60899999999975
2020-10-18,326.3489999999999
2020-10-19,678.0799999999975
2020-10-02,654.530999999998
2020-10-20,931.9739999999966
2020-10-21,1222.293999999994
2020-10-22,907.7649999999969
2020-10-23,1029.9589999999962
2020-10-24,386.8809999999995
2020-10-25,383.4779999999996
2020-10-26,806.2289999999979
2020-10-27,657.6379999999986
2020-10-28,908.0989999999947
2020-10-29,1722.6189999999838
2020-10-03,258.88200000000006
2020-10-30,1184.3579999999931
2020-10-31,283.2269999999998
2020-10-04,260.00800000000004
2020-10-05,659.1099999999986
2020-10-06,788.6719999999974
2020-10-07,778.193999999998
2020-10-08,582.8399999999997
2020-10-09,632.1649999999989
2020-11-01,315.2859999999998
2020-11-10,525.8839999999991
2020-11-11,546.0889999999993
2020-11-12,472.7849999999998
2020-11-13,438.7110000000002
2020-11-14,189.83799999999994
2020-11-15,222.657
2020-11-16,507.5529999999992
2020-11-17,520.2149999999992
2020-11-18,493.15999999999934
2020-11-19,440.1519999999993
2020-11-02,689.1149999999984
2020-11-20,409.9319999999997
2020-11-21,206.00599999999994
2020-11-22,167.953
2020-11-23,497.7729999999995
2020-11-24,514.2789999999995
2020-11-25,452.8889999999997
2020-11-26,176.1570000000001
2020-11-27,415.0039999999999
2020-11-28,170.83500000000004
2020-11-29,202.36700000000005
2020-11-03,562.5539999999988
2020-11-30,573.2019999999993
2020-11-04,745.5429999999977
2020-11-05,612.0049999999978
2020-11-06,497.8669999999996
2020-11-07,238.23999999999998
2020-11-08,232.84999999999994
2020-11-09,521.2299999999996
2020-12-01,770.609999999997
2020-12-10,778.0029999999966
2020-12-11,565.4289999999987
2020-12-12,234.9420000000001
2020-12-13,261.21700000000016
2020-12-14,477.91999999999916
2020-12-15,621.148999999998
2020-12-16,660.0069999999984
2020-12-17,626.7389999999991
2020-12-18,566.5949999999996
2020-12-19,292.12799999999993
2020-12-02,646.7019999999976
2020-12-20,269.38
2020-12-21,510.1109999999997
2020-12-22,556.9209999999989
2020-12-23,447.7969999999996
2020-12-24,325.6469999999999
2020-12-25,135.1790000000001
2020-12-26,154.649
2020-12-27,195.86400000000003
2020-12-28,468.3609999999994
2020-12-29,517.3479999999989
2020-12-03,531.647999999999
2020-12-30,434.2269999999997
2020-12-31,358.72899999999987
2020-12-04,523.5879999999995
2020-12-05,230.98100000000008
2020-12-06,226.67199999999994
2020-12-07,587.0599999999985
2020-12-08,521.417999999999
2020-12-09,740.2699999999971
2020-02-01,215.26000000000005
2020-02-10,302.4960000000001
2020-02-11,476.5929999999992
2020-02-12,343.445
2020-02-13,374.7959999999997
2020-02-14,339.93999999999966
2020-02-15,148.78700000000003
2020-02-16,141.59900000000002
2020-02-17,188.94199999999992
2020-02-18,365.9019999999999
2020-02-19,389.96699999999936
2020-02-02,210.099
2020-02-20,349.361
2020-02-21,371.34999999999957
2020-02-22,122.60300000000007
2020-02-23,138.018
2020-02-24,375.4269999999996
2020-02-25,352.0089999999997
2020-02-26,368.40199999999993
2020-02-27,466.23799999999943
2020-02-28,404.0669999999994
2020-02-29,153.81700000000004
2020-02-03,363.857
2020-02-04,400.7859999999997
2020-02-05,316.90599999999984
2020-02-06,313.9899999999999
2020-02-07,273.104
2020-02-08,116.82100000000004
2020-02-09,122.49500000000006
2020-03-01,121.87700000000008
2020-03-10,320.469
2020-03-11,357.80299999999977
2020-03-12,410.6219999999996
2020-03-13,341.2069999999996
2020-03-14,112.45700000000008
2020-03-15,183.84299999999996
2020-03-16,344.1639999999998
2020-03-17,369.8099999999993
2020-03-18,382.92199999999997
2020-03-19,318.54999999999995
2020-03-02,308.3409999999999
2020-03-20,273.7309999999999
2020-03-21,141.64600000000004
2020-03-22,153.24900000000002
2020-03-23,335.01499999999993
2020-03-24,385.3909999999999
2020-03-25,435.9489999999996
2020-03-26,328.2800000000002
2020-03-27,241.63399999999993
2020-03-28,120.39100000000002
2020-03-29,168.83799999999997
2020-03-03,381.45299999999975
2020-03-30,302.273
2020-03-31,320.32099999999974
2020-03-04,311.855
2020-03-05,357.37699999999955
2020-03-06,409.40299999999945
2020-03-07,149.235
2020-03-08,126.36500000000005
2020-03-09,411.9679999999998
2020-04-01,295.473
2020-04-10,106.92700000000005
2020-04-11,88.499
2020-04-12,124.37500000000001
2020-04-13,259.5489999999999
2020-04-14,305.2309999999999
