underlying_symbol,quote_datetime,iv30,iv60,iv90,iv120,iv180,iv360,number_of_expiry_ivs,{expiry_iv_date,expiry_iv_value}[number_of_expiry_ivs]
AAPL,2020-12-09 16:00:00,33.3351,36.8600,36.5829,35.9356,35.9979,35.8091,17,2020-12-11,35.0573,2020-12-18,32.6424,2020-12-24,32.4336,2020-12-31,32.0036,2021-01-08,33.3376,2021-01-15,33.7439,2021-01-22,35.1180,2021-02-19,36.8712,2021-03-19,36.3798,2021-04-16,35.8142,2021-06-18,35.9712,2021-07-16,35.5717,2021-09-17,35.6321,2022-01-21,35.7671,2022-06-17,35.6015,2022-09-16,35.3916,2023-01-20,35.3140
AMZN,2020-12-09 16:00:00,33.4142,35.2004,36.4517,35.2808,35.8994,35.3791,19,2020-12-11,33.7900,2020-12-18,32.6076,2020-12-24,32.2783,2020-12-31,31.8042,2021-01-08,33.4170,2021-01-15,33.4226,2021-01-22,33.4225,2021-02-19,36.5793,2021-03-19,35.8703,2021-04-16,35.2479,2021-06-18,35.8942,2021-07-16,35.5791,2021-08-20,36.0002,2021-09-17,35.4822,2021-10-15,35.1053,2021-11-19,35.3748,2022-01-21,34.8778,2022-06-17,34.8945,2023-01-20,34.7442
FB,2020-12-09 16:00:00,36.4384,36.4081,39.5586,37.0423,37.5485,36.8853,16,2020-12-11,46.5334,2020-12-18,39.8239,2020-12-24,38.2829,2020-12-31,35.8191,2021-01-08,36.4418,2021-01-15,36.7295,2021-01-22,35.0201,2021-02-19,39.4152,2021-03-19,38.4360,2021-06-18,37.5883,2021-07-16,37.0342,2021-09-17,37.1049,2022-01-21,36.6196,2022-06-17,37.3182,2022-09-16,37.3229,2023-01-20,36.9631
NFLX,2020-12-09 16:00:00,36.6365,47.1665,40.1462,41.5987,40.6681,40.1216,16,2020-12-11,40.6708,2020-12-18,38.9508,2020-12-24,35.4169,2020-12-31,35.3170,2021-01-08,36.6387,2021-01-15,38.3892,2021-01-22,44.8745,2021-02-19,42.2558,2021-03-19,40.7936,2021-06-18,40.6335,2021-07-16,41.1131,2021-09-17,40.2549,2022-01-21,40.2069,2022-03-18,39.6571,2022-06-17,39.6702,2023-01-20,39.5695
