underlying_symbol,quote_datetime,iv30,iv60,iv90,iv120,iv180,iv360,number_of_expiry_ivs,{expiry_iv_date,expiry_iv_value}[number_of_expiry_ivs]
AAPL,2020-12-10 16:00:00,32.8346,38.0795,36.1480,36.0357,36.1603,35.8795,18,2020-12-11,30.0434,2020-12-18,30.4533,2020-12-24,30.8874,2020-12-31,30.9061,2021-01-08,32.7115,2021-01-15,33.2433,2021-01-22,35.2156,2021-01-29,37.5318,2021-02-19,36.7230,2021-03-19,36.3061,2021-04-16,35.8977,2021-06-18,36.1416,2021-07-16,35.6770,2021-09-17,35.7650,2022-01-21,35.7695,2022-06-17,35.6455,2022-09-16,35.4563,2023-01-20,35.3727
AMZN,2020-12-10 16:00:00,32.9685,37.9225,35.4909,35.1976,35.5599,35.1451,20,2020-12-11,26.7779,2020-12-18,31.1054,2020-12-24,31.0781,2020-12-31,30.8629,2021-01-08,32.8114,2021-01-15,33.0789,2021-01-22,33.2659,2021-01-29,36.4476,2021-02-19,36.3333,2021-03-19,35.6238,2021-04-16,35.0184,2021-06-18,35.5910,2021-07-16,35.2692,2021-08-20,35.7080,2021-09-17,35.2376,2021-10-15,34.9350,2021-11-19,35.1691,2022-01-21,34.6161,2022-06-17,34.6234,2023-01-20,34.3948
FB,2020-12-10 16:00:00,36.2734,43.1315,38.0122,39.5249,38.2324,37.2124,17,2020-12-11,34.1004,2020-12-18,36.1976,2020-12-24,35.1060,2020-12-31,34.2535,2021-01-08,36.1064,2021-01-15,35.8376,2021-01-22,34.3308,2021-01-29,40.2530,2021-02-19,39.7650,2021-03-19,38.6289,2021-06-18,37.8923,2021-07-16,37.3026,2021-09-17,37.3306,2022-01-21,37.0420,2022-06-17,37.2488,2022-09-16,37.2772,2023-01-20,36.9426
NFLX,2020-12-10 16:00:00,36.2704,42.5876,41.1295,39.7323,40.1191,40.0446,17,2020-12-11,37.8577,2020-12-18,36.6904,2020-12-24,35.2033,2020-12-31,34.4982,2021-01-08,36.1788,2021-01-15,37.9305,2021-01-22,44.9535,2021-01-29,44.5409,2021-02-19,42.1406,2021-03-19,40.5568,2021-06-18,40.3329,2021-07-16,40.7388,2021-09-17,40.0713,2022-01-21,40.1298,2022-03-18,39.7289,2022-06-17,39.6072,2023-01-20,39.7291
