underlying_symbol,quote_datetime,iv30,iv60,iv90,iv120,iv180,iv360,number_of_expiry_ivs,{expiry_iv_date,expiry_iv_value}[number_of_expiry_ivs]
AAPL,2020-04-09 16:00:00,41.8006,39.0823,37.0987,36.1698,35.0095,32.0552,18,2020-04-09,75.6248,2020-04-17,37.6833,2020-04-24,38.9855,2020-05-01,44.3852,2020-05-08,42.0467,2020-05-15,41.7861,2020-05-22,41.3635,2020-05-29,40.2533,2020-06-19,38.2934,2020-07-17,36.6574,2020-09-18,35.7092,2020-10-16,34.6237,2020-12-18,33.8320,2021-01-15,33.0972,2021-06-18,32.0925,2021-09-17,31.9451,2022-01-21,31.6747,2022-06-17,31.9365
AMZN,2020-04-09 16:00:00,36.0380,32.7393,31.1049,31.2942,30.5985,30.4221,17,2020-04-09,56.8994,2020-04-17,26.2992,2020-04-24,36.5002,2020-05-01,37.1645,2020-05-08,36.1724,2020-05-15,34.9310,2020-05-22,34.4635,2020-05-29,33.5759,2020-06-19,32.2872,2020-07-17,30.7600,2020-08-21,31.7136,2020-09-18,30.8965,2020-10-16,30.5560,2021-01-15,30.1347,2021-02-19,30.3144,2021-06-18,30.3067,2022-01-21,30.4217
FB,2020-04-09 16:00:00,43.9254,38.0181,38.9428,38.2367,36.0986,33.3626,15,2020-04-09,65.2749,2020-04-17,38.5338,2020-04-24,39.4418,2020-05-01,45.1624,2020-05-08,44.3664,2020-05-15,41.9471,2020-05-22,42.9799,2020-05-29,40.3336,2020-06-19,38.3309,2020-09-18,36.3853,2020-11-20,35.8943,2021-01-15,34.0607,2021-03-19,33.4052,2021-06-18,33.0723,2022-01-21,32.3013
NFLX,2020-04-09 16:00:00,55.8079,48.1910,44.1774,43.1034,43.8917,41.5731,15,2020-04-09,51.0804,2020-04-17,39.0705,2020-04-24,66.5281,2020-05-01,61.9020,2020-05-08,56.2730,2020-05-15,53.4212,2020-05-22,52.8518,2020-05-29,50.8874,2020-06-19,46.2404,2020-09-18,43.6916,2020-11-20,43.5954,2021-01-15,42.2626,2021-06-18,41.7048,2022-01-21,40.3332,2022-06-17,39.8325
